age,job,marital,education_qual,call_type,day,mon,dur,num_calls,prev_outcome,y
58,management,married,tertiary,unknown,5,,261.0,1,,no
44,,single,secondary,unknown,5,,151.0,1,unknown,no
33,entrepreneur,married,secondary,unknown,5,may,76.0,1,unknown,no
47,blue-collar,married,,unknown,5,,92.0,1,unknown,no
33,unknown,single,unknown,unknown,5,may,198.0,1,unknown,no
35,management,married,tertiary,unknown,5,may,139.0,1,,no
28,,single,,unknown,5,may,217.0,1,unknown,no
42,entrepreneur,divorced,tertiary,unknown,5,may,380.0,1,,no
58,retired,married,primary,unknown,5,may,50.0,1,unknown,no
43,technician,single,secondary,unknown,5,may,,1,unknown,no
41,admin.,divorced,secondary,unknown,5,may,,1,unknown,no
29,admin.,single,,unknown,5,may,137.0,1,unknown,no
53,,married,secondary,unknown,5,may,517.0,1,,no
58,,married,,unknown,5,may,,1,,no
57,,married,,unknown,5,may,174.0,1,unknown,no
51,retired,married,primary,unknown,5,,,1,,no
45,admin.,single,,unknown,5,may,,1,,no
57,blue-collar,married,primary,unknown,5,may,38.0,1,,no
60,retired,married,,unknown,5,may,219.0,1,,no
33,services,married,secondary,unknown,5,,,1,unknown,no
28,blue-collar,married,secondary,unknown,5,may,262.0,1,unknown,no
56,management,married,,unknown,5,may,164.0,1,,no
32,blue-collar,single,,unknown,5,may,160.0,1,unknown,no
25,services,married,secondary,unknown,5,may,,1,unknown,no
40,,married,primary,unknown,5,may,181.0,1,,no
44,admin.,married,,unknown,5,may,172.0,1,,no
39,management,single,,unknown,5,may,296.0,1,,no
52,,married,,unknown,5,may,,1,unknown,no
46,management,single,,unknown,5,may,255.0,2,unknown,no
36,,single,,unknown,5,may,,1,unknown,no
57,technician,married,secondary,unknown,5,may,225.0,1,,no
49,management,married,,unknown,5,may,230.0,1,unknown,no
60,admin.,married,secondary,unknown,5,,,1,,no
59,blue-collar,married,secondary,unknown,5,may,226.0,1,unknown,no
51,management,married,,unknown,5,may,336.0,1,,no
57,technician,divorced,secondary,unknown,5,,242.0,1,unknown,no
25,blue-collar,married,secondary,unknown,5,,365.0,1,,no
